start	end	text
189	689	All right.
729	2530	Welcome to Happy Path Programming.
3571	6692	Let's see, before we get into Trisha Gere, wonderful guest for today.
6712	9974	We've got Winter Tech Forum coming up in a couple of weeks.
9994	11374	Two weeks, exactly, almost.
11715	14256	We're here in Crest, Dubuque, where we have lots of snow.
14376	18298	And you can still sign up, and you might be able to go to the Yurt Dinner.
18458	19018	It's hard to say.
19954	26216	But we've officially released the rest of the places.
26377	29418	But, you know, they can make a last minute call.
29458	30098	It's a good time.
30138	30958	It's going to be fun.
30978	32059	It's a really good time.
32079	33019	Yeah.
33199	37621	And also, just wanted to mention, I have a couple of books on Lean Pub.
38221	40802	There's Atomic Kotlin, and there's on Java 8.
41242	48885	And there's, I mean, increasingly, perhaps poorly chosen title, but people still get a lot out of it.
49961	73500	there the on java a on the on java 81 yeah nice cool right and then uh and trisha welcome and you have a book yes i see um i see your atomic kotlin book on lean pub a lot because when i'm checking the top 10 yours is in the top 10 the minds of number 37 that's really gratifying yes i have a book getting to know intelligent idea which is also on lean pub it's on amazon too but you know lean pub is uh
74261	74661	friendlier.
75202	78423	And you have a hardcover version.
78523	92990	So I did it on Lean Pub because it's a nice platform, self-published, and then when I released it, so I released the first edition, me and Helen actually, released the first edition November before last, and then I felt a bit down after it was done.
93030	94291	I was like, why do I feel down?
94311	96852	Because I can't hold it in my hands.
98193	103856	So then I looked into the KDP staff and so the Kindle Direct publishing, so you can
104336	109459	upload a PDF to Amazon and they'll publish you a paperback in the hardback you want to.
109819	110180	Oh, nice.
110200	110380	Yeah.
110600	111200	Yeah.
111420	125489	I feel down after a book because I realize the nice clear meaning of my life just suddenly stops, you know, but before it's like, okay, we are existing to create the book and then it goes away.
126189	133352	But it is nice to have the physical thing on the shelf behind you, which we're looking at Trisha's book behind her on the shelf.
133452	136754	And Bruce has his books behind him on the shelf.
136854	140715	I actually paid full price for Head First Java because I helped contribute to Head First Java.
140875	146518	And I think my author copies weren't due for ages, so I paid full price so I could physically hop the book.
147018	147858	Yeah, right.
148039	148579	No, it's good.
148759	150860	There's definitely something satisfying about that.
151795	160239	So real quick on that book, it goes into, I'm guessing, IntelliJ and how to use it more effectively and what else?
160259	164881	Because I was doing advocacy for IntelliJ at JetBrains for like seven years.
165342	172965	So at the end of that night, I left a couple of years ago, I'm like, what I really want to sort of download everything from my brain into something that other people can use.
173425	175086	So the book is split into four sections.
175146	176167	The first section is kind of
176947	184216	bit fluffy in terms of like how IntelliJ thinks, like where you need to be looking inside the IDE to look for the stuff that you care about.
184617	187801	The second two sections are all sort of tutorial driven.
187821	194349	And I use TDD with it as well because I wanted to show this is
195330	201334	this is how to get the most out of IntelliJ in terms of like it will do code generation and it will make everything compile.
201474	203916	And so there's two tutorial sections in the middle.
204236	209720	And then the fourth section is actually like half the book, which is like everything else you need to know about IntelliJ.
210320	218045	So it goes into depth about like run configurations and about like tips and tricks for debugging and how best to use the testing functionality.
218145	225210	And I keep thinking about splitting that fourth section out and just having it as a standalone book because it's just got so much useful stuff in there.
225511	225772	Nice.
226634	226955	Yes.
228159	230947	And so you wrote this book even after you left Jet Brands.
231735	237939	We started it, I was trying to remember, because like history or blurs into one, post pandemic, everything is big.
238900	244604	So me and Helen started writing it in my, what was to become my last year at JetBrains.
245204	252869	And then I took a sabbatical and like you were saying about the purpose of my life in the sabbatical, I had two purposes.
253449	258473	One was to help finish head first Java, which actually came, that came to me
259224	266431	after I started writing the IntelliJ book, so I knew I couldn't have a full-time job and write two books at the same time.
267132	278963	So I had like three months of Finnish head first Java and in some ways, I mean, that was a crazy time, but in some ways I sort of miss it because I'd be like, right, get up, get the kids to school, sit down and write the book and keep writing the game.
279643	285051	And then when that was done, then I went back in and spent another like six months on the IntelliJ IDEA book.
285112	288236	And I was like, we've got to get this out the door because we spent two years on it now.
288336	291721	And it was supposed to be an easy thing that we can just quickly.
294042	296985	I need a sabbatical so we can finish the effect on your programming book.
297365	300888	Yeah, the siren song of the easy book.
301309	303131	Yeah, never turns out that way.
303151	304952	I think I might pick a hard book.
305172	311919	I was having a conversation with Brian Getz at DevOps about how do you feel about updating Java concurrency, was it modern Java concurrency?
313683	314804	That's a hard book.
314884	317185	I don't think that's something you can just get out the door.
317885	324769	Well, plus all the work that they've done on Lume has changed everything.
324809	329432	So I think you'd just want to write a new book, which would be really hard.
329452	330673	And what did he say?
330813	331253	No way on earth.
334895	340598	No, I mean, he was, he always said, I was asking him because he always said, when loom comes out, I'll consider it.
341938	354264	And so then he was sort of saying, I don't know if this is like, you know, conference dinner, non-disclosure, but he was sort of saying the same thing that you just said, you can't really update the book and just like plonk loom on the end of it.
354604	355244	Yeah.
355605	356945	So he was considering
359301	362002	having a part two book.
362422	365523	So not a second edition, but like modern, modern Java.
366003	366663	Exactly.
366683	368584	Like the first book is still valid.
368724	370344	All of that, none of that goes away.
370804	373465	It's just that that's not the first thing you're going to think about anymore.
373545	375906	Like how do we use fork join and
376286	389956	You're going to use the executors pool and and loom and and things like concurrent data structures and all the stuff that's kind of come in since I think that I think his book was what Java 5, Java 6.
390456	392098	So there's there's a lot to cover.
392138	392418	Yeah.
392438	392558	Yeah.
394682	397483	Not just a refactor, I would say.
397503	403746	I mean, if it was me, I would go, new book, you could draw from the material in there, but just make it a new book.
403806	405666	That's what I would do if you're listening, Brian.
406307	406987	Just my opinion.
407867	417371	Well, maybe eventually you'll have a fleet version of your IntelliJ book, and it'd be interesting to see, can you just do a refactor, or is that a full rewrite?
417831	424319	Yeah, I mean, fleet and some of the other options that I gotta say, I'm an old fashioned programmer.
424359	426241	I'm like, I spent a long time learning IntelliJ.
426381	428343	Like, I'm going to keep using IntelliJ.
428764	431567	Oh, yeah, once you invest a lot of time in something like that.
432128	432548	Yeah.
433189	433850	Know your tools.
433870	434851	It's hard to change them.
436352	453143	It is, it is hard and Helen is still working at JetBrains and she's more of a sort of broad knowledge person so she's dipping in and out of the IDE so sort of hoping that maybe she might tell me what's different in the IDE's but I'm not going to spend 15 years learning fleet so that I can do a fleet book as well.
455049	465283	Yeah, well, and I've tried it a couple of times and my initial reaction has always been, oh, well, this isn't, I mean,
466331	468633	This isn't as responsive as VS code yet.
468813	475618	So, I'm not, which I think is what they're trying to compete with, right?
475898	477539	Pretty sure.
477779	480421	The thought that I have when I use fleet is, oh, this isn't for me.
481081	485164	Not because it's bad, but it's just, I'm not the sort of programmer they're targeting.
485504	488386	And I think that's how I feel when I use VS code.
488607	490308	It's like, yeah, it's similar.
491201	501574	I'm, yeah, I don't know, I'm still, I mean, I use both VS Code and IntelliJ, but more, I don't know, most of the time, it's like, it's the little things.
501754	503196	I find it's those little hurdles.
503617	506781	And this is, you know, developer productivity is one of your things.
506821	509905	So we can, we can work into that.
509985	510105	But
510509	520304	Those little hurdles are what get me and starting up IntelliJ and getting into that mindset versus just bringing up VS Code.
520804	523989	Most of the time I'll just use VS Code and then I learn it.
524330	526313	I learned more and more about it in the process.
526833	527454	but it's that.
527934	531797	It's almost just the startup time that gets me.
532017	533318	And also the simplicity.
533478	536401	It hasn't got this huge surface area.
537702	540284	And I've discovered this in a bunch of things.
541525	543286	It's the little hurdles that get you.
544167	553234	And maybe we can move into the idea of test-driven development and testing in general, because that's a big thing for you.
553254	554114	Because I just
555155	567466	Recently in the last few days came across an article in my newsfeed where the guy was talking about, I don't remember, it was basically the things that didn't work in test-driven development.
567526	573911	Because a lot of times, TDD is something that people will go, oh, well, you have to use TDD everywhere.
574351	582158	And he's pointing out that, well, a lot of times, if you're doing exploratory programming, you don't know.
583160	591684	If you're doing, if you're just trying to solve a specific problem, the test is really, is the problem solved or not?
591884	596947	And so you don't necessarily build a whole bunch of tests and you certainly don't do the test first thing.
597347	603330	And it's like, there's this kind of narrow area where you go, oh, we have the complete specification.
603890	612474	We can start by writing the tests for that specification that fail and then, you know, but that's like not that big of a,
613510	619357	It's not holistic of all the different things that you're doing in the activity of programming.
619377	623822	Yeah, because so much of the time you don't have that full specification.
623922	624183	Yeah.
624743	626906	And if you do, sure, I can see why you'd use TD.
626926	633353	Wouldn't the counter argument to that be that, well, you should probably go build that specification before you start writing code?
634370	643915	Um, I, I guess, but it, but, but if it's, you know, if I'm just, well, certainly if I'm exploring, I don't know what that specification would look like.
643935	649237	I'm just trying to figure out, is it possible to do this thing or do I want to do this thing or whatever?
649457	650498	So what do you think about this?
650858	653379	I mean, everything's about gray areas, isn't it?
653459	653659	Right.
653819	656280	And I'm a big fan of TDD.
656821	661643	Um, I tend to write my tests first, even when I, so,
662261	672446	When I used to interview people for a position where we had to have TDD as part of the job, people would say, yeah, I write my test first, except when I don't know what I'm doing.
672566	673727	And then I write the code first.
673787	678909	And I'm a bit like, yeah, but if you don't know what you're doing, why are you writing the production code?
678929	683572	Part of the thing about the test is to write down the things that you don't know.
685753	689614	Even if it's just the title of the test, what should it do if the connection fails?
689674	692275	What should it do if the user gives you some garbage input?
692635	697057	What should it do if, I don't know, if you don't know what you're doing?
697117	706160	So I quite often use the test to make a note of all those things that I don't know, and then kind of use that to drive the solution.
707200	715343	But it does depend a little bit on the application you're working on and how it's architectured, architected, and also what sorts of tests you're writing.
715423	719305	So when I worked at Elmax, we wrote a whole bunch of automated acceptance tests.
719325	721466	So you can be quite high level in terms of
722026	739025	the behavior the user expects and we wrote the unit test too when you're doing the unit test you're going to be more precise about like it is definitely going to do these things when you do these sorts of things and on the acceptance test level you can write these automated tests which are like well you know it should definitely give me some sort of error if I do something stupid.
740046	747775	But if you don't have those different levels of testing in a unit test where your unit tests are like one test, one class is very difficult to write that general.
747835	753161	Well, I want it to do something definitely wrong when this weird stuff happens.
753681	753922	Yeah.
754302	754522	Yeah.
755283	755503	Yeah.
755523	757746	So there's like a spectrum with testing where I
760552	781054	don't often write a lot of unit tests because a lot of the stuff that I'm building is really about integration and it's the integration points that are brittle and can fail or be flaky and so those are the places where I often start is like like what how should the integration work and so it's maybe a little
781514	787165	unfortunate in some cases that I can't break that down into a unit test that has much value.
787545	791212	But really what I care about is like, is this integration working as I expect it to?
792520	803347	But then that makes my tests slower, other integration tests and the system that I'm relying on maybe needs a bunch of setup in order to have a valid test.
805088	807630	My husband writes a lot of Android stuff.
808991	813493	He and I both worked at the same place in London where we worked with Dave Farley with these acceptance tests and stuff.
814174	817416	He wants to test drive a lot of stuff the same way that we did there.
818036	826324	But he does find it, it's a very different beast when you're working with Android because you can't just fire up a quick unit test that does the thing that you want.
826904	834171	But what he has found is that he often writes these integration tests or emulator level tests because
834833	836954	You can think that way in terms of the overall flow.
837254	842477	But then afterwards, he will sometimes refact those down to unit tests and be like, oh, you know what?
842537	843837	I don't need the emulator for this.
843877	846959	I'm actually only testing this part of the view or whatever.
847399	852001	But again, I guess that's one way that I have to do it is I'll start with the integration test.
852321	861586	And then I realize in trying to fulfill the integration test that, oh, there's actually a few places that I can break down into being unit tests.
861666	863827	But I guess I'm almost in my TDD
864907	872193	And a lot of stuff I build, I'm an integration test first kind of approach and then identifying the places that could be unit test.
872293	875856	Yeah, because it seems like that's not driven.
876016	884222	I guess that's the problem that I have when people are very rigid about, oh, you always have to write the test before you write any code.
884743	886824	And I have discovered that
888746	904340	When you're you know at some point well it's almost like when you're writing a book you write an example and then you start writing the pros and it changes or at least in my experience it often changes the example you go oh wait you know you're sort of rubber ducking.
904861	906362	the example down on the thing.
906502	909564	And so for me, testing will often do that.
909664	915627	And you go like, even just to make something testable, you go, Oh yeah, that would change the design of it.
916287	918289	But that isn't upfront.
918449	926653	And I think maybe my problem isn't, it's the, the driven part, the, Oh, you have to get this test first.
926893	927194	Yeah.
927854	931356	And then fill in the, you know, connect the dots afterwards.
931752	943057	I think for me, the key thing is to be able to switch between the two, like rapidly, because you can't just write 300 tests with no implementation and then write the implementation and expect everything to pass.
943258	950621	Like whether you write the implementation and go, oh, now I know what the test is supposed to look like, or whether it's about going backwards and forwards.
951121	957124	Because the other thing is that one of the, I went from this place I was working with Dave Farley, I started working at MongoDB.
957464	959846	So I was trying to do test-driven stuff there.
960868	969790	The pattern that they had been using is that, because we were working on the Java driver, so we had a specification on how the Java driver was going to talk to the database.
970250	985553	So a lot of the design was sort of driven from the database, like upwards, if you like, which kind of makes sense, because we have a specification on how to talk to the database, and so you're sort of exposing that to the end user, and the end user is a Java developer who's trying to talk to MongoDB.
986193	989614	But when you start thinking test first, you start thinking from the outside in,
990034	995136	you start to realize that the API makes no sense when you're exposing what the database cares about.
995656	999658	And when I'm a developer, I don't really care about whatever it is the database cares about.
999758	1005681	I want an insert statement, which is going to take the thing I'm inserting and maybe some criteria.
1006101	1009683	And in Java syntax, I would expect it to look like this.
1010323	1012424	And so I sometimes find test driven development.
1012864	1017346	That's why I learned that test driven development is very good for API design, because then you're starting to think,
1017986	1019886	From the outside, what makes sense?
1019987	1021167	What shape should it be?
1021627	1025008	Instead of doing what we often do as developers and go, here's what you've got.
1025088	1029208	Just do your best with this.
1029288	1040351	Yeah, this is what makes sense based on the system that I'm abstracting over when the other way is to think, okay, this is what the developer actually wants from their API.
1041071	1046472	Right, and I think the biggest thing that I've come away with is when you
1047452	1052814	do the testing and you go, oh, wait, this doesn't make sense.
1053094	1055595	I need to change the API to make it testable.
1055795	1060836	It often or almost always improves the API in that process.
1061236	1065998	So that hand in hand approach is just really essential, I think.
1066420	1075427	Yeah, I think as long as you're doing both at the same time and evolving in both directions, because if you if you write your production code and then don't write any test, well, A, that's bad.
1075827	1079289	And B, when you come to it six months later and go, Oh, it doesn't really work.
1079349	1080370	And I need some tests.
1081191	1088956	And you're too scared to touch the production code to make it testable because you can't remember what it does or why it works that way or which assumptions you made.
1089136	1091318	And it's just difficult to do it afterwards.
1092659	1095181	Yeah, I think there's an important point that you brought up around how
1096220	1108472	I think TDD is in some ways presented as this idea that you mentioned of like write your tests and then switch over to your production code and then only in production code get all of your tests to pass.
1108892	1119042	And I think in reality, you've got this inner loop where you're going back and forth between your test code and your production code and you're modifying them both at some point
1119702	1134697	And that is, I think, not generally the way that TDD is presented as the way that you should do it, but the reality to be, I think, productive is that you kind of do have to be going back and forth, adapting things.
1136018	1141123	I feel like when Luciano introduced it, that's the way he did it.
1141163	1142565	He goes, okay, what do you want to do?
1143049	1144589	All right, first write the test for that.
1144789	1146010	Okay, now implement the code.
1146070	1148410	And it was just one thing at a time.
1148690	1154531	And that did make more sense to me, but often I go, well, I'm not sure what I wanna do at this point.
1154671	1158812	I don't know what's possible or whatever, but that's just me.
1159132	1169274	There's, I think a third piece to this that I often do is think about the data model and the functions around that data model is almost like a separate thing.
1169334	1171034	Like I've got the functionality
1171434	1175137	but then I've got the data model and functions, and then I've got the tests.
1175757	1184644	And a lot of times I start with my data model first because to even write a useful test, I have to have the actual objects defined.
1185064	1195772	But then when I define like a function, I, in Kotlin used to do or in Scala use triple question mark as being like, all right, my test is going to blow up when I actually try to call this function.
1196465	1205071	And that gives me the name that I can reference, but then allows me to write the test against that function that is not yet implemented.
1205091	1213057	I guess in Java you could throw not implemented exception or something as well, but the triple question mark should end scholar to do and Cotton's pretty nice for doing that.
1213838	1222686	So I kind of like build out the data model and the functions, but then there's that like circular loop between all three of those different pieces to actually kind of get to where I want to go.
1222847	1223888	Right, right.
1224308	1227291	Um, is this a segue that we could go into?
1227331	1229273	I want to talk about, um, flaky tests.
1229513	1230494	Oh, flaky tests, right.
1230554	1231355	Cause that's a thing.
1231375	1231735	Okay.
1231755	1232836	Tell us about flaky tests.
1232917	1233117	Yeah.
1233137	1233417	What's, uh,
1237801	1247387	I mean everyone has flaky tests like if you're doing any kind of like especially integrations is only like would you only usually get a flaky test on an integration test or is this happen.
1248049	1256833	I mean, I think you probably, you're going to find flaky tests more frequently on, um, when you've got independent systems or messaging or integrations or like, yes, anything.
1256853	1261756	I mean, you can define flaky tests.
1262256	1272581	The easiest definition of a flaky test is you run a test and it fails and you run it straight afterwards and the same hardware, the same JVM, the same everything else and it passes.
1273109	1275050	So it's a non-pure functional test.
1275070	1278633	It's a non-deterministic result.
1279233	1287960	And so, you know, and obviously there's different variations in that it mostly passes, but every now and again it fails versus, you know, pass fails, pass fails, pass fails.
1288000	1295385	But ultimately, if you can run it under the same circumstances and sometimes it passes and sometimes it fails, it's flaky.
1296243	1297324	Yeah.
1297344	1303729	These are challenging because you then get your CI system that is flaky.
1304150	1313657	Like the flakiness then propagates to cause you a lot of challenges in keeping that main branch green or whatever.
1313677	1315839	And how do you solve this problem?
1318419	1319160	Yes, I come to that.
1319480	1330553	My main problem with flaky tests is that even if you have one flaky test in your whole test suite, you stop trusting your tests because you're like, you already know, sometimes it passes.
1331294	1337141	And so you start rerunning things, whether you rerun it like locally or whether you get your CI to rerun things.
1337489	1340871	this becomes inefficient, use more resources, ultimately more money.
1340891	1346494	And what does it mean to pass a test, your test when one of them is flaky?
1346674	1347494	What does that mean?
1347814	1348735	You can't trust it.
1348815	1359920	You've invested all this time writing tests, whether you did TDD or whatever you did, you've written tests, you have tests, but they are not doing the job they're supposed to do because you don't have the confidence that
1361181	1374067	The tests are doing what they say they're doing and you don't have the confidence that your production code is working properly because if your test fails sometimes you're like Is it the code?
1374208	1376128	Is it my CI infrastructure?
1376269	1377629	Like what what is it?
1377749	1380411	And if I can't trust my tests, why write them?
1381462	1386547	Well, so here's the thing is that I have an argument, my first argument for what to do about flaky tests is delete them.
1387167	1393253	Just like just delete it because I really do think that they cause more pain than any kind of
1394099	1395520	security you get from that test.
1395540	1401984	Because every time it passes, you're still not kind of tricked into believing that it actually works.
1402284	1402524	Right.
1403045	1404045	And so I think they're toxic.
1404085	1410549	I think that they lead to this lack of faith in your test suite and not to mention the cost, the time cost and all the rest of it.
1411029	1412490	So my first answer would be delete them.
1412851	1414532	But obviously you should try and fix them.
1414572	1415973	And there's a bunch of different ways to fix them.
1416013	1417574	So Dave Farley has a good video on this.
1417854	1420295	He talks about the five causes of intermittent tests.
1421976	1427839	And so there's things like infrastructure changes that can happen underneath you, especially if it's a CI environment.
1427859	1429520	It talks about things like versioning.
1429600	1434242	So you run it in one environment, and it's fine.
1434282	1435783	But in another environment, it's not fine.
1435803	1444527	But you haven't versioned in your code, like I expected to be using this service, this version of the service, or I expected to be using this version of Java or whatever.
1444587	1449809	So obviously from Dave's continuous delivery point of view, his whole thing is like everything should be codified.
1449829	1450790	You can't just rely on
1451170	1472783	it's probably there and it's probably what i expect so that's that's another thing and then of course there's a lot of things about asynchronousness and messaging and weights and timeouts and race conditions and that kind of thing when i went with david at lmax there was a we had a bunch of flaky tests they were mostly timeout based stuff because we were using asynchronous messaging
1473403	1478765	but it turns out that one subset of failing tests were failing for production reasons.
1478806	1493352	There was actually a race condition in the production code and the only way we found it is because we hammered it with a bunch of acceptance tests every 40 minutes and that would bring in this race condition in the subset of the tests.
1494401	1505272	The flaky test could be indicating to you that you've got a deeper problem, like a race condition that only surfaces given some particular state of the system.
1505292	1508356	When you're using concurrency with flaky tests.
1508716	1514842	So would it make sense to have a separate suite of flaky tests?
1515686	1524290	So you have your, your tests that always should work and then your flaky tests that you run when you're looking for deeper problems.
1524931	1530654	So, so one of the approaches I was talking, so one of them, right, I've got so many things to say.
1531394	1536697	Um, working at Gradle, we have a product called dev velocity, which does identify your flaky tests for you.
1536817	1538417	So when a test fails, it reruns it.
1538558	1541239	And then if it's, if it fails and passes in the same,
1541798	1543339	set, then it flags it as flaky.
1543399	1545519	So you get to see your flaky test.
1545539	1546320	So that's a great thing.
1546640	1548260	Visibility of a flaky test is a good thing.
1549021	1553302	So then I was discussing with my fellow developer advocates, like what do we do about flaky tests?
1553783	1554263	Do we just...
1555438	1562021	From a developer advocacy point of view is our message, you have to fix your flaky tests because they're noise and all the rest of it.
1562442	1566103	And we realized, of course, there is a subset of tests which will, by definition, be flaky.
1566504	1567364	Things like, well, flaky.
1567844	1570506	Not always give you the result that you expect.
1570666	1580771	So for example, one set of tests that we were running at this place were effectively smoke tests against third party libraries and third party systems and things.
1581511	1582972	And they can fall into different categories.
1583112	1584874	One is, you know, their test system is down.
1585034	1586495	So like the tests are going to fail.
1586875	1588356	Another is they've changed the version.
1588597	1593560	You kind of want your tests to fail if they change something and your tests expect one thing and get something else back.
1594021	1598424	And another is, you know, just integration is a point of potential failure.
1598464	1600966	You can't, you can't time out.
1601286	1602447	Your time out can't be infinite.
1602587	1604069	Sometimes stuff goes down.
1604169	1605750	So yes, anything which
1606618	1614780	The test is valuable, but there is a non-zero chance that the test might fail for probably infrastructural reasons.
1615321	1624143	Then you want to run those probably separately so that they're not part of your, whatever you call your, you know, your acceptance testing commit bill, whatever it is.
1625043	1633606	So then you can see, so you should have a set of tests, your unit tests and even end to end tests, which you can rely on so that the whole thing can go green.
1633986	1635386	like all the time in theory.
1635767	1641988	And then anything which is like, well, we just want to make sure it's probably not really stupid can be a little bit off to one side.
1642148	1642728	So that's one side.
1642748	1650770	It's part of the underlying challenge here that we typically have a red-green approach to test passing.
1651450	1661293	And there are cases where maybe it would be better to think about it in terms of a risk level or a
1661673	1671648	like probability level or like like hey you know we're a 98% confidence that like the system is is good and you know that.
1672572	1678095	rather than always saying you're either at 0% or 100% is kind of the red-green approach.
1678695	1683617	You're probably right because if you think about performance tests, there's usually some hard line on a performance test.
1683657	1688680	So we had performance requirements of a latency of under 10 milliseconds or whatever it was.
1689080	1694043	So you want your performance test to be under that, but it's not.
1695163	1699666	You can still argue it's red and green, but it is on a scale.
1699766	1706489	So like you want to be able to see when you're getting to like nine milliseconds, you should probably do something about that and bring it back down again.
1706909	1709811	So it's not just a case of it's fine or it's not fine.
1709851	1715914	It's like it's fine or it's not, it's kind of fine or it's really going to get to be not fine quite soon.
1715934	1719836	And I think that's, I mean, we live in a world where there's, it's not red and green.
1719876	1722798	It's not black and white, but everything's on a bit of a scale.
1722838	1724199	You know, it depends, you know?
1724679	1725940	Yeah.
1727041	1730704	We don't ship perfect software to production.
1731364	1733446	We know that our software is not perfect.
1734066	1737049	What level of imperfection are we okay with and still shipping?
1738149	1750319	Maybe a future improvement to CI systems would be able to say, how much flakiness do you want to allow to consider this green or able to be merged?
1752640	1758225	You should also be able to flag like I expect this to be flaky sometimes versus I did not expect this to be flaky.
1758725	1765310	I don't expect when I run into my services under my control for them to not speak to each other or whatever it is.
1766291	1772095	I think the binary idea goes unfortunately filters up into management as well.
1772615	1776478	You know when we had this idea of test coverage which hopefully is going away
1777699	1782601	You know, if the managers would go, well, of course we want 100% test coverage.
1782641	1785462	And then we had to go, oh, this was a bad idea.
1785482	1788644	We need to change this model.
1788664	1790485	But it was measurable.
1790845	1794426	So you can't manage what you can't measure.
1794446	1796167	That's what they say in business school.
1796187	1797348	That's what they say.
1798428	1798708	Right.
1798808	1800470	So we got to have, we got to have measures.
1800650	1806554	And if we're going to measure it, then if I'm going to get a promotion, then it's got to be a hundred percent.
1808196	1809597	This comes back down to the book writing.
1809737	1815121	It's like 80% complete for like two years, 20%, which is really hard.
1815521	1819364	The last few percent are the ones that it's hard to get out of.
1820825	1824088	So different approaches to dealing with flaky tasks.
1824368	1827410	Maybe the, the Uber point is that you
1828271	1835916	you should put some thought into how you're dealing with and how you're classifying flaky tests and there's different approaches that you can take.
1836296	1843061	You can do retries as part of that in the GRPC Kotlin project that I maintain.
1843101	1844362	We have a flaky test and I have
1844882	1845922	No idea why it's flaky.
1846383	1847943	I've not been able to figure that out.
1848443	1857006	And so there's a cool gradle module, gradle plugin that I use that just like retries the whole test suite multiple times.
1857506	1865588	And it's kind of a brute force approach, but ultimately, you know, I get a green build and that feels good.
1866488	1872771	But so retries at some granularity is probably one strategy that you can take.
1873331	1881595	But then I think you mentioned a few other possible approaches that you could take, and maybe something that the Great Old Develocity tool helps with.
1881695	1886497	So Develocity uses the retries thing from Great Old, but also from Maven to be like,
1888238	1889498	to flag it as flaky.
1889538	1894842	So at least you're going one step further than, I retried it, it went green, so it's all good.
1894862	1899724	I retried it, it went green, but hey, I don't think that's right.
1900085	1906808	So Develocity kind of flags that and it shows you like these are how many flaky tests you had in this build and you can look at it over time.
1906828	1909590	So you can see your most flaky tests, which is really helpful.
1909970	1912772	The other thing that came into a more recent version of Develocity is
1913272	1929149	the way that I've done flaky test detection in the past which is from build to build given that things haven't changed this test tends to go red green red green red green so it's probably flaky and so then you can prioritise them and then this allows you to actually do something about your flaky test because
1929673	1932534	When I go to conferences and I ask people, do you have flaky tests?
1932694	1934455	Some people say, I don't know.
1935075	1936956	And that worries me very deeply.
1937316	1944040	Because I know that when we work on very complex systems, which most of us are working on complex systems these days, our CI system is like.
1945300	1946960	I'm not going to say it's red all the time.
1947000	1959984	I'm going to say it's red sometimes, it's green sometimes, and I don't really know what is the real state of my tests in CI because, like you say, are they 90% passing or 1% passing?
1960004	1962184	Because it went red, and I'm not really sure what that means.
1962784	1968806	And with some, at least some visibility over the flaky tests, we know, well, this goes red 20% at the time because of flaky tests.
1968886	1968966	And
1969426	1974567	Maybe you can put them into a different part of the build or we talk about quarantining them.
1974908	1978388	I've worked in a place where you put an annotation on them, which says ignore until.
1978749	1983330	So you give yourself like two weeks to kind of like fix it.
1983390	1986731	And then if you haven't fixed it, it starts fading.
1987331	1989151	Oh, that's a cool approach.
1989251	1990812	Is this part of devalocity?
1991272	1996858	No, this was when I worked with Dave Farley and we had like, we used a JUnit annotation to... Oh, we priced our own annotation.
1997038	2006527	So the JUnit annotation like gives you a time box that you can ignore the flakiness for and then the tests are absolutely failing after that.
2006547	2009610	Yeah, it doesn't run the tests for a while and then when the date goes past, it starts running it again.
2009630	2014916	And then if it fails because you forgot to do anything about it, you're like, oh yeah, I really need to get on that thing.
2015576	2025485	It's a good point because since I added the retry to GRPC Kotlin, I have totally forgotten that I should at some point investigate that I have a flaky test.
2026025	2029008	Now it's just like, oh, the build is green all the time.
2029068	2033452	And so bug fixed when in reality the bug is not fixed.
